Packet loss rate (in %age),jitter (in ms),delay (in ms),a,effective delay (in ms) ,R (in ms) ,Final R (in ms) ,Mean Opinion Score (MOS)
0.0044,2.623,3.755,1.5,17.6895,92.7577625,92.7467625,4.400341194
0.0044,2.623,3.755,1.6,17.9518,92.751205,92.740205,4.400209277
0.0044,2.623,3.755,1.7,18.2141,92.7446475,92.7336475,4.400077289
0.0044,2.623,3.755,1.8,18.4764,92.73809,92.72709,4.39994523
0.0044,2.623,3.755,1.9,18.7387,92.7315325,92.7205325,4.399813099
0.0044,2.623,3.755,2,19.001,92.724975,92.713975,4.399680898
0.0139,3.937,3.663,1.5,19.5685,92.7107875,92.6760375,4.398914668
0.0139,3.937,3.663,1.6,19.9622,92.700945,92.666195,4.398715488
0.0139,3.937,3.663,1.7,20.3559,92.6911025,92.6563525,4.398516149
0.0139,3.937,3.663,1.8,20.7496,92.68126,92.64651,4.39831665
0.0139,3.937,3.663,1.9,21.1433,92.6714175,92.6366675,4.398116991
0.0139,3.937,3.663,2,21.537,92.661575,92.626825,4.397917172
0.0101,3.883,18.583,1.5,34.4075,92.3398125,92.3145625,4.391494941
0.0101,3.883,18.583,1.6,34.7958,92.330105,92.304855,4.391292723
0.0101,3.883,18.583,1.7,35.1841,92.3203975,92.2951475,4.391090352
0.0101,3.883,18.583,1.8,35.5724,92.31069,92.28544,4.390887827
0.0101,3.883,18.583,1.9,35.9607,92.3009825,92.2757325,4.390685147
0.0101,3.883,18.583,2,36.349,92.291275,92.266025,4.390482313
0.0061,5,13.327,1.5,30.827,92.429325,92.414075,4.393558983
0.0061,5,13.327,1.6,31.327,92.416825,92.401575,4.393300606
0.0061,5,13.327,1.7,31.827,92.404325,92.389075,4.393041972
0.0061,5,13.327,1.8,32.327,92.391825,92.376575,4.392783082
0.0061,5,13.327,1.9,32.827,92.379325,92.364075,4.392523935
0.0061,5,13.327,2,33.327,92.366825,92.351575,4.392264533
0.0238,0.093,6.509,1.5,16.6485,92.7837875,92.7242875,4.399888769
0.0238,0.093,6.509,1.6,16.6578,92.783555,92.724055,4.399884085
0.0238,0.093,6.509,1.7,16.6671,92.7833225,92.7238225,4.3998794
0.0238,0.093,6.509,1.8,16.6764,92.78309,92.72359,4.399874715
0.0238,0.093,6.509,1.9,16.6857,92.7828575,92.7233575,4.39987003
